Nome,Data de Nascimento,Altura(m),Nacionalidade,Gênero,Grupo,
Adela Smajic,01/03/1993,1.60,Suíça,Feminino,Digital Influencers,
Aiko,22/11/1975,1.52,Japonesa,Feminino,Cantores,
Alba Flores,27/10/1986,1.76,Espanhola,Feminino,Atores, 
Afonso Herrera,28/08/1983,1.78,Mexicano,Masculino,Atores,
Alvaro Xaro Neto,04/11/1999,1.83,Brasileiro,Masculino,Digital Influencers,
Andrea Chong,21/08/1987,1.63,Canadense,Feminino,Digital Influencers,
Anitta,30/03/1993,1.62,Brasileira,Feminino,Cantores,
Bruno Mars,08/10/1985,1.65,Estadunidense,Masculino,Cantores,
Chiara Ferragni,07/05/1987,1.77,Italiana,Feminino,Digital Influencers,
Christian Chávez,07/08/1983,1.80,Mexicano,Masculino,Cantores,
Deolane Bezerra,01/11/1987,1.63,Brasileira,Feminino,Digital Influencers,
DeWand Wise,30/05/1984,1.68,Estadunidense,Feminino,Atores,
Didintle Khunou,14/11/1992,1.61,Sul-Africana,Feminino,Atores,
Dulce María,06/12/1985,1.60,Mexicana,Feminino,Atores,
Fernando Lozada,10/08/1989,1.82,Mexicano,Masculino,Digital Influencers,
Giovanna Antonelli,18/03/1976,1.68,Brasileira,Feminino,Atores,
Holland Roden,07/10/1986,1.60,Estadunidense,Feminino,Atores,
Ikuforiji Olaitan Abdulrahman,22/04/1997,1.73,Nigeriano,Masculino,Cantores,
Jeon Jung-kook,01/09/1997,1.77,Sul-Coreano,Masculino,Cantores,
Justin Bieber,01/03/1994,1.75,Canadense,Masculino,Cantores,
Jung Ho-yeon,23/06/1994,1.76,Sul-Coreana,Feminino,Atores,
Kim Kardashian,21/10/1980,1.57,Estadunidense,Feminino,Digital Influencers,
Lisa,27/03/1997,1.67,Tailandesa,Feminino,Cantores,
Ludmilla,24/04/1995,1.78,Brasileira,Feminino,Cantores,
Lumena Aleluia,18/04/1991,1.68,Brasileira,Feminino,Digital Influencers,
Malu Borges,07/06/1990,1.69,Brasileira,Feminino,Digital Influencers,
Marco Pigossi,01/02/1989,1.80,Brasileiro,Masculino,Atores,
Virginia Fonseca Costa,06/04/1999,1.67,Estadunidense,Feminino,Digital Influencers,
Wagner Moura,27/06/1976,1.80,Brasileiro,Masculino,Atores,
Zaz,01/05/1980,1.63,Francesa,Feminino,Cantores,
